127.0.0.1, 2018-05-24 16:14:44, GET, /app1/static/images/gplus-32.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2018-05-24 16:14:44, GET, /app1/static/images/favicon.ico, HTTP/1.1, 304, 0.003000
127.0.0.1, 2018-05-24 16:15:17, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.367000
127.0.0.1, 2018-05-24 16:15:17, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-05-24 16:15:23, GET, /admin/default/peek/app1/databases/sql.log, HTTP/1.1, 200, 0.042000
127.0.0.1, 2018-05-24 16:15:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2018-05-24 16:15:29, GET, /admin/default/design/app1, HTTP/1.1, 200, 0.369000
127.0.0.1, 2018-05-24 16:15:30, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2018-05-24 16:15:35, GET, /examples/default/documentation, HTTP/1.1, 200, 0.230000
127.0.0.1, 2018-05-24 16:15:35, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2018-05-24 16:15:35, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.019000
127.0.0.1, 2018-05-24 16:15:35, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.011000
127.0.0.1, 2018-05-24 16:15:35, GET, /examples/static/css/stupid.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-05-24 16:15:35, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.010000
127.0.0.1, 2018-05-24 16:15:35, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2018-05-24 16:15:35, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2018-05-24 16:15:35, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
